MODEL, MARKETING_NAME, VENDOR, DISPLAY_HEIGHT, DISPLAY_WIDTH, CAMERA_PIXELS, YEAR_RELEASED, DIAGONAL_SCREEN_SIZE, REACH
MSD7,msd7,maxx,220,176,0.3,2011,2.2,18
AX810,ax810,bmobile,854,480,8,2015,5,18
I908,xenium i908,philips,1920,1080,13,2014,5,18
Slide 2,slide 2,wiko,1280,720,13,2015,5.5,18
F480S,wine,lg,480,320,8,2014,3.5,18
S10,s10,smartbook,600,1024,2,2014,10,18
S507,s507,amer,1280,720,8,2015,5,18
L678,staraddict 5,hisense,1280,720,13,2016,5,18
SCH-I200,galaxy stellar,verizon,800,480,3.15,2012,4,18
Le Max,le max,letv,2560,1440,21,2015,6.33,18
MS3,ms3,unknown,NULL,NULL,NULL,2015,NULL,18
C6750,hydro elite,kyocera,1280,720,8,2013,4.29,18
SM-G925R4,galaxy s6 edge,us cellular,2560,1440,16,2015,5.1,18
SU540,ku5400,lg,800,480,NULL,2011,4.3,18
C20,c20,hisense,1280,720,13,2015,5,18
N8800,n8800,akai,NULL,NULL,NULL,2014,5.5,18
Infinity Lotus,infinity lotus,gionee,800,480,8,2012,4,18
I213,one touch pixi 7,alcatel,960,540,0.3,2014,7,18
6030X,one touch idol,alcatel,960,540,8,2013,4.7,18
LS-5015,water 8,lyf,720,1280,13,2016,5,18
A7020a40,vibe k5 note,lenovo,1920,1080,13,2015,5.5,18
Elite 3,elite 3,leagoo,1280,720,13,2015,5.5,18
SHT22,aquos pad,kddi,1200,1920,13.1,2014,7,18
M032,mx,meizu,960,640,8,2012,4.01,18
Xello,xello,odys,480,800,0.3,2012,7,18
5038D,one touch pop d5,alcatel,854,480,5,2014,4.5,18
SCL-L01,dive 70,orange,1280,720,8,2015,5,18
Startrail 4,startrail 4,sfr,854,480,5,2013,4.5,18
IQ4516 Octa,tornado slim,fly,1280,720,8,2014,4.8,18
SM-G3509,galaxy trend iii,samsung,800,480,3.1,2013,4.3,18
AK-8476,ak-8476,akai,800,480,NULL,2015,7,18
Blade A475,blade a475,zte,1280,720,13,2015,4.59,18
Sky S777,sky s777,skyphone,480,320,2,2013,3.5,18
824,smarteasy,doro,1280,720,8,2015,5,18
BQS-5020,strike,bq,1280,720,13,2016,5,18
4045L,one touch pop 2 (4),alcatel,854,480,5,2014,4.5,18
RKM MK802IV,mini tv box player,rikomagic,NULL,NULL,NULL,2013,NULL,18
Discovery 2,discovery 2,general mobile,1920,1080,13,2014,5,18
N83,n83,sanei,600,800,NULL,2012,8,18
M8St,one m8s,htc,1920,1080,13.2,2015,5,18
X509,zero 2,infinix,1280,720,13,2015,5,18
Endeavour 101L,endeavour 101l,blaupunkt,800,480,5,2013,9,18
GS03,ascend p1,e-mobile,960,540,NULL,2012,NULL,18
POP 7 LTE,onetouch pop 7 lte,alcatel,1024,600,5,2016,7,18
B3-A10,iconia one 10,acer,800,1280,NULL,2015,10.1,18
TM785M3,tm785m3,nuvision,768,1024,3,2014,7.85,18
ADR8995,breakout,pantech,800,480,5,2011,4,18
Cink King,cink king,wiko,854,480,8,2012,5,18
UP520,up520,uhappy,960,540,8,2014,5,18
S7200,s7200,sinotec,600,1024,2,2011,7,18
L8303,l8303,laaboo,480,320,NULL,2012,3.5,18
SHW-M190S,shw-m190s,samsung,800,480,5,2009,4,18
GT-I9100M,galaxy s2,samsung,800,480,2,2011,4.3,18
A460,blade l4,zte,854,480,5,2015,5,18
Life One XL,life one xl,blu,1280,720,13,2015,5.5,18
Y550-L03,ascend y550,huawei,854,480,5,2014,4.5,18
Lifetab E7312,lifetab e7312,medion,600,1024,0.3,2013,7,18
SU870,optimus 3d cube,lg,800,480,5,2012,4.3,18
W27,w27,ramos,600,1024,0.3,2012,10.1,18
Z831,maven 2,zte,854,480,5,2016,5,18
A16C3H,andromax a,smartfren,854,480,5,2016,4.5,18
M9w,one m9,htc,1920,1080,20,2015,5,17
MZ615,xoom 2,motorola,800,1280,5,2012,10.1,17
ac80cplv2,alba 10 inch,alba,800,1280,NULL,2014,10,17
i940,iden,motorola,1024,600,5,2012,3.5,17
V970,grand x,zte,960,540,5,2012,4.3,17
V975i,v975i,onda,1536,2048,5,2014,9.699999999999999,17
NS-P10A6100,ns-p10a6100,insignia,800,1280,5,2015,10.1,17
SM-T807V,galaxy tab s,verizon,1600,2560,8,2014,10.5,17
LG870,optimus f7,lg,1280,720,8,2013,4.7,17
Iris X1 Atom,iris x1 atom,lava,800,480,5,2015,4,17
SCH-R830,galaxy axiom,samsung,800,480,5,2012,4,17
SCH-I829,galaxy style duos,samsung,800,480,5,2013,4.3,17
Hercules,hercules,highscreen,1920,1080,13,2015,5,17
TPC-1050,tpc-1050,svp,600,1024,2,2012,10,17
SM-T377T,galaxy tab e,t-mobile,800,1280,2,2016,8,17
E04(3GB),e04(3gb),ecoo,1920,1080,16,2015,5.5,17
T9002,t9002,argom,480,800,NULL,2012,7.01,17
Studio One Plus,studio one plus,blu,1920,1080,13,2015,5.5,17
A70H,a70h,archos,480,800,0.3,NULL,7,17
Dslide 1013,dslide 1013,danew,600,1024,2,2013,10.1,17
Y22L,y22l,vivo,854,480,8,2014,4.5,17
DC-1215,everpad,everest,480,800,NULL,2015,7,17
LS995,g flex,lg,1280,720,13,2013,6,17
SM-J105M,galaxy j1 mini (2016),samsung,800,480,5,2016,4.3,17
KYY04,urbano progresso,kddi,800,480,NULL,2012,4,17
A76,a76,micromax,854,480,5,2013,5,17
SNB02-NV7A,2s,nabi,800,1280,2,2013,7,17
SM-E700M,galaxy e7,samsung,1280,720,13,2015,5.5,17
P-03E,eluga p,docomo,1920,1080,13.4,2013,4.7,17
S4506,s4506,dns,960,540,5,2014,4.5,17
Milestone,milestone,motorola,854,480,5,2009,3.7,17
Win JR LTE,win jr lte,blu,854,480,5,2015,4.5,17
Lumina 7Q8L,lumina 7q8l,tivax,600,1024,0.3,NULL,7,17
X3V,x3v,vivo,1280,720,8,2014,5,17
A808T,golden warrior a8,lenovo,1280,720,13,2014,5,17
Cynus T8,cynus t8,mobistel,1280,720,13,2014,5,17
VNS-TL00,g9 lite,huawei,1920,1080,13,2016,5.2,17
6040X,one touch idol x,alcatel,1920,1080,13.1,2014,5,17
6045F,one touch idol 3,alcatel,1920,1080,13,2015,5.5,17
E52,e52,nokia,320,240,NULL,2009,2.42,17
M20,m20,mixc,960,540,8,2015,5,17
Intense Metal,intense metal,firefly mobile,960,540,8,2015,5.5,17
Iris X1,iris x1,lava,854,480,8,2014,4.5,17
R833T,r833t,oppo,800,480,5,2013,4.3,17
Fire TV,amazon fire tv,amazon,NULL,NULL,NULL,2015,NULL,17
SM-G928X,galaxy s6 edge plus,samsung,2560,1440,16,2015,5.7,17
KII-L23,gr5,huawei,1920,1080,13,2015,5.5,17
VK410,g pad 7.0,lg,800,1280,3.15,2014,7,17
Y100 Plus,y100 plus,doogee,1280,720,13,2015,5.5,17
TV BOX H3,tv box h3,aizbo,NULL,NULL,NULL,2015,NULL,17
Primo S2,primo s2,walton,1280,720,13,2014,5,17
IQ4409 Quad,era life 4,fly,854,480,5,2014,4.5,17
M510t,m510t,infocus,1280,720,8,2014,5,17
SMB-C7003,smb-c7003,malata,1024,600,NULL,NULL,7,17
Studio 5.0 C,studio 5.0 c,blu,854,480,5,2014,5,17
Blade L2 Plus,blade l2 plus,zte,854,480,8,2015,5,17
Lifetab P733X,lifetab p733x,medion,800,1280,NULL,2015,7,17
S8600,s8600,huawei,800,480,NULL,2011,3.7,17
B16C2H,andromax e2,smartfren,480,800,5,2015,4.5,17
Venue 7 3740,venue 7 3740,dell,800,1280,5,2014,7,17
777TPC,cyberpad,iview,480,800,2,2012,7.01,17
M623C,m623c,china mobile,1280,720,3.2,2015,5,17
Y516-T00,huawei,huawei,800,480,5,2014,4.5,17
YP-GB70,galaxy player,samsung,800,480,3.15,2009,5,17
V5S,grand memo 5s,zte,1280,720,13,2014,5,17
eMax,emax,umi,1920,1080,13,2014,5.5,17
Y21L,y21l,vivo,854,480,5,2016,4.5,17
SCH-I925,galaxy note 10.1,samsung,1280,800,NULL,2012,10.13,17
VFD 1100,tab mini 7,vodafone,600,1024,NULL,2016,7,17
C6522N,hydro xtrm,kyocera,800,480,5,2013,4,17
5019D,pixi 3 (4.5),alcatel,854,480,5,2015,4.5,17
SM-J110L,galaxy j1 ace,samsung,800,480,5,2015,4.3,17
VS450PP,optimus exceed-2,verizon,800,400,5,2014,4.5,17
Infinity Passion,infinity passion,gionee,800,480,5,2012,4.3,17
NV7 H3,nv7 h3,novo,600,1024,NULL,2014,7,17
Glory 2,one touch glory 2,alcatel,480,320,3.2,2012,3.5,17
W732,w732,philips,800,480,NULL,2012,4.3,17
D360,d360,doov,800,480,NULL,2013,4.3,16
X98 Air III,x98 air iii,teclast,1536,2048,5,2015,9.699999999999999,16
8020X,one touch hero,alcatel,1920,1080,13,2014,6,16
YP-GB1,galaxy player,samsung,400,240,3.2,2011,4,16
TGW-706,tgw-706,condor,1024,600,2,2015,7,16
L36,l36,unknown,480,800,0.3,2012,7.01,16
SM-G900J,galaxy s5,samsung,1920,1080,16,2014,5.1,16
SM-T705C,galaxy tab s lte,samsung,1600,2560,8,2014,8.4,16
RM-878,lumia 810,nokia,800,480,8,2012,4.3,16
P490L,g pad 8.0 lte,lg,800,1280,5,2014,8,16
D2206,xperia e3,sony,854,480,5,2014,4.5,16
MD706,md706,naviatec,480,800,0.3,2012,7,16
S39h,xperia c,sony,960,540,8,2013,5,16
Smart 35,smart 35,cheers,800,480,2,2014,3.5,16
8720L,8720l,coolpad,1280,720,5,2014,5,16
T630,blade x5,zte,1280,720,13,2015,5,16
GT-S5310I,galaxy pocket neo,samsung,320,240,2,2013,3,16
M1001,m1001,haipad,1024,600,NULL,2012,9.970000000000001,16
V812,v812,onda,1024,768,5,2012,8,16
Studio 5.5 S,studio 5.5 s,blu,854,480,5,2013,5.5,16
SM-E500M,galaxy e5,samsung,1280,720,8,2015,5,16
MD 98428,life p4501,medion,960,540,8,2012,4.5,16
SM-G3606,galaxy core prime,samsung,800,480,5,2014,4.5,16
