"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"isw11sc","galaxy s2 wimax","kddi","1280","720","8","2012","4.7",48
"gra-cl10","p8 standard edition","huawei","1920","1080","13","2015","5.2",48
"sm-n7500q","galaxy note 3 neo","samsung","1280","720","8","2014","5.5",48
"x330","flare s3 octa","cherry mobile","1280","720","13","2015","5",48
"sgp412","xperia z ultra wifi","sony","1920","1080","8","2014","6.4",48
"y320-u01","ascend y320","huawei","800","480","2","2013","4",48
"p70","p70","lenovo","480","320","NULL","2011","3.5",48
"yu5010a","yu yuphoria","yu","1280","720","8","2015","5",48
"x5v","x5v","vivo","1280","720","13","2014","5",48
"free-075","free-075","freeman","480","800","3.15","2014","7",48
"y18l","y18l","vivo","1280","720","8","2014","4.7",48
"ls775","stylus 2","lg","1280","720","13","2016","5.7",48
"gt-b9150","gt-b9150","samsung","1080","1920","NULL","2013","6.88",48
"m7005","m7005","apad","480","800","NULL","2011","7",48
"a7-30gc","tab 2","lenovo","600","1024","2","2014","7",48
"z300cg (p021)","zenpad 10","asus","800","1280","2","2015","10.1",48
"p850x","p850x","medion","800","1280","NULL","2016","8",48
"grand s ii","grand s ii","zte","1920","1080","13","2014","5.5",48
"4011x","one touch glory 2s pro","alcatel","480","320","3.2","2013","3.5",48
"gl07s","stream x","huawei","1280","720","13","2013","4.7",48
"quadra 7 ultraslim","quadra 7 ultraslim","pentagram","800","1280","2","2013","7",48
"9360","curve","blackberry","360","480","5","2011","2.44",48
"lt28i","xperia ion","sony","1280","720","12","2012","4.55",48
"p505","p505","lg","480","320","NULL","2011","3.2",48
"nura gris","nura gris","orange","1280","720","8","2014","5.5",47
"i216x","one touch pixi 7","alcatel","960","540","0.3","2014","7",47
"y530-u051","ascend y530","huawei","854","480","5","2014","4.5",47
"8079","8079","coolpad","854","480","2","2014","4.5",47
"v967s","skate 2","zte","960","540","5","2013","5",47
"hn3-u01","honor 3","huawei","1280","720","13.1","2013","4.7",47
"ls991","g4","sprint","2560","1440","16","2015","5.5",47
"x5l","x5l","vivo","1280","720","13","2014","5",47
"a350","canvas knight","micromax","1920","1080","16","2014","5",47
"f520l","aka 4g","lg","1280","720","8","2014","5",47
