"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"iphone","iphone","apple","480","320","2","2007","3.50",46090144
"ipad","ipad","apple","1024","768","NULL","2010","9.70",7586115
"sm-j700f","galaxy j7 duo","samsung","1280","720","13","2015","5.50",4501823
"sm-j200gu","galaxy j2","samsung","960","540","5","2015","4.50",3195986
"sm-j710f","galaxy j7 (2016)","samsung","1920","1080","13","2016","5.50",2527806
"sm-g7102","galaxy grand 2","samsung","1280","720","8","2013","5.25",2140614
"a1601","f1s","oppo","1280","720","16","2016","5.50",1159735
"gt-i8552b","galaxy win duos","samsung","800","480","5","2013","4.66",1089479
"gt-n7100","galaxy note 2","samsung","1280","720","8","2012","5.50",1011722
"sm-n920c","galaxy note 5","samsung","2560","1440","16","2015","5.70",944883
"gt-i8552","galaxy win","samsung","800","480","5","2013","4.70",940541
"smart 4g speedy 4.0","smart 4g speedy 4.0","true","480","800","5","2015","4.00",899967
"sm-g610f","galaxy j7 prime","samsung","1920","1080","8","2016","5.50",864316
"t00j","zenfone 5","asus","1280","720","8","2014","5.00",845082
"sm-a500f","galaxy a5","samsung","1280","720","13","2014","5.00",832356
"smart max 4.0","smart max 4.0","true","NULL","NULL","5","2016","4.00",823073
"n5111","n1 mini","oppo","1280","720","13","2014","5.00",791290
"sm-g530f","galaxy grand prime","samsung","960","540","8","2014","5.00",789623
"gt-i9082l","galaxy grand","samsung","800","480","8","2013","5.00",782188
"gt-i9082","galaxy grand","samsung","800","480","8","2013","5.00",767704
"f1f","f1","oppo","1280","720","13","2016","5.00",750859
"iq 5.8 dtv","iq 5.8 dtv","i-mobile","960","540","8","2014","5.00",747324
"sm-a710f","galaxy a7 (2016)","samsung","1920","1080","13","2015","5.50",733993
"sm-n900","galaxy note 3","samsung","1920","1080","13","2013","5.70",698117
"y55l (1603)","y55","vivo","1280","720","8","2016","5.20",679530
"iris 810","iris 810","lava","854","480","5","2016","5.00",678729
"sm-n910c","galaxy note 4","samsung","2560","1440","16","2014","5.70",673458
"sm-g935f","galaxy s7 edge","samsung","2560","1440","12.2","2016","5.50",672268
"sm-a700fd","galaxy a7","samsung","1920","1080","13","2015","5.50",653861
"iris 700","iris 700","lava","960","540","5","2014","4.50",643998
"a37f","a37f","oppo","1280","720","8","2016","5.00",621224
"gt-i9500","galaxy s4","samsung","1920","1080","13","2013","5.00",619570
"iris 600","iris 600","lava","854","480","5","2015","4.50",596376
"sm-g900f","galaxy s5","samsung","1920","1080","16","2014","5.10",584565
"x9006","find 7a","oppo","1920","1080","13","2014","5.50",582454
"iris 510","iris 510","lava","800","480","5","2014","4.00",580781
"iris 550","iris 550","ais","800","480","5","2015","4.00",578306
"sm-a910f","galaxy a9 (2016)","samsung","1920","1080","13","2015","6.00",560721
"sm-a510f","galaxy a5","samsung","1920","1080","13","2015","5.20",540345
"y51","y51","vivo","960","540","8","2015","5.00",534519
"gt-i9152","galaxy mega 5.8","samsung","960","540","8","2013","5.80",521416
"sm-j500g","galaxy j5","samsung","1280","720","13","2015","5.00",514708
"sm-g360h","galaxy core prime duos","samsung","800","480","5","2014","4.50",513061
"iris 360m","iris 360 music","lava","480","320","2","2016","3.50",502470
"sm-j100ml","galaxy j1","samsung","800","480","5","2015","4.30",497031
"sm-g360hu","galaxy core prime","samsung","800","480","5","2014","4.50",495187
"sm-a800f","galaxy a8","samsung","1920","1080","16","2015","5.70",489506
"sm-e500h","galaxy e5","samsung","1280","720","8","2015","5.00",478073
"iris 708","iris 708","lava","960","540","8","2015","4.50",456925
"a33w","neo 7","oppo","960","540","8","2015","5.00",450913
"1201","1201","izoom","800","400","2","2014","4.00",415838
"gt-n5100","galaxy note 8","samsung","1280","800","5","2013","8.00",408426
"r2001","yoyo","oppo","960","540","5","2014","4.70",386446
"sm-g925f","galaxy s6 edge","samsung","2560","1440","16","2015","5.10",378869
"sm-n9005","galaxy note 3 4g lte","samsung","1920","1080","13","2013","5.70",367117
"dtab 01","mediapad 10 link","docomo","800","1280","3.1","2013","10.13",361230
"iris 750","iris 750","","854","480","8","2015","4.50",341419
"sm-j510fn","galaxy j5","samsung","1280","720","13","2016","5.20",336682
"gt-s7582l","galaxy trend pro dual","samsung","800","480","2","2013","4.00",333457
"gt-i9300","galaxy s3","samsung","1280","720","8","2012","4.80",321452
"gt-s7582","galaxy s duos 2","samsung","800","480","5","2013","4.00",310667
"iris 800","iris 800","lava","854","480","5","2015","5.00",309119
"x9009","r9","oppo","1920","1080","13","2016","5.50",294935
"i-style 7.7 dtv","i-style 7.7 dtv","i-mobile","800","480","5","2014","4.00",294042
"sm-e700f","galaxy e7","samsung","1280","720","13","2015","5.50",291151
"a11w","joy 3","oppo","854","480","5","2015","4.50",273907
"smart 4.0","smart 4.0","true","800","480","5","2014","4.00",272017
"a33f","neo 7","oppo","960","540","8","2015","5.00",269511
"a51f","mirror 5s","oppo","1280","720","8","2015","5.00",268969
"sm-g920f","galaxy s6","samsung","2560","1440","16","2015","5.10",266560
"iphone 5s","iphone 5s","apple","1136","640","8","2013","4.00",266497
"sm-j120h","galaxy j1 (2016)","samsung","854","480","5","2016","4.50",262830
"zb551kl","zenfone go","asus","1280","720","13","2015","5.50",261706
"zc550kl (z010d)","zenfone max","asus","1280","720","13","2016","5.50",261552
"cam-l21","y6ii","huawei","1280","720","13","2016","5.50",258577
"sm-g355h","galaxy core ii","samsung","800","480","5","2014","4.50",242467
"y28","y28","vivo","960","540","8","2015","4.70",236893
"sm-g930f","galaxy s7","orange","2560","1440","12.2","2016","5.10",235795
"sm-g355m","galaxy core 2 duos","samsung","800","480","5","2014","4.50",232348
"sm-t116nu","galaxy tab 3 v","samsung","600","1024","2","2015","7.00",229046
"y31l","y31l","vivo","960","540","8","2015","4.70",228362
"v3 max","v3 max","vivo","1920","1080","13","2016","5.50",226566
"gt-i9300t","galaxy s3","samsung","1280","720","8","2012","4.80",226202
"d820","nexus 5","google","1920","1080","8","2013","5.00",223154
"iq1","iq1","i-mobile","960","540","NULL","2012","4.50",218999
"blade a110","blade a110","zte","1280","720","8","2016","5.00",214873
"r831k","neo 3","oppo","854","480","5","2014","4.50",212042
"y21","y21","vivo","854","480","5","2016","4.50",210282
"sm-j105b","galaxy j1 mini (2016)","samsung","800","480","5","2016","4.30",206558
"lenny 3","lenny 3","wiko","1280","720","8","2016","5.00",204595
"r829","r1","oppo","1280","720","5","2013","5.00",201310
"sm-n7502","galaxy note 3 neo dual sim","samsung","1280","720","8","2014","5.50",198911
"i-style q4","i-style q4","i-mobile","800","480","8","2013","4.00",197068
"sm-t111","galaxy tab 3 lite 7.0 3g","samsung","600","1024","2","2014","7.00",196823
"smart speedy 4g 4.0","smart speedy 4g 4.0","true","800","480","5","2015","4.00",196394
"i-style 2","i-style 2","i-mobile","480","320","3","2012","3.50",196369
"iris 500","iris 500","lava","854","480","5","2014","5.00",194691
"sm-t116bu","galaxy tab 3","samsung","600","1024","3.15","2015","7.00",193297
"smart 3.5 touch","smart 3.5 touch","true","480","320","3","2015","3.50",191722
"ze551ml (z00ad)","zenfone 2","asus","1920","1080","13","2015","5.50",189808
"sm-g361hu","galaxy core prime","samsung","800","480","5","2014","4.50",188638
"iphone 6","iphone 6","apple","1334","750","8","2014","4.70",187603
"robby","robby","wiko","1280","720","8","2016","5.50",182226
"lenny 2","lenny 2","wiko","854","480","5","2015","5.00",180940
"z00ld","zenfone 2 laser (ze550kl)","asus","1280","720","13","2015","5.50",180571
"y35","y35","vivo","1280","720","13","2015","5.00",177941
"iris 353","iris 353","lava","480","320","2","2013","3.50",176993
"xshot","xshot","vivo","1920","1080","13","2014","5.20",176934
"iq 5.7a","iq 5.7a","i-mobile","960","540","12","2014","5.00",172153
"r1001","joy","oppo","800","480","3.15","2014","4.00",171912
"sm-a800i","galaxy a8 duos","samsung","1920","1080","16","2015","5.70",171824
"y15","y15","vivo","854","480","5","2013","4.50",170672
"sm-p355","sm-p355","samsung","768","1024","5","2015","8.00",169784
"eva-l19","p9","huawei","1920","1080","12","2016","5.20",164153
"sm-j500h","galaxy j5","samsung","1280","720","13","2015","5.00",164001
"sm-t285","galaxy tab a 7.0","samsung","800","1280","5","2016","7.00",163764
"z00ed","zenfone 2 laser","asus","1280","720","13","2015","5.50",162829
"cun-l21","y5ii","huawei","1280","720","8","2016","5.00",160823
"iris 750","iris 750","ais","854","480","8","2015","4.50",159861
"r8006","r1l","oppo","1280","720","13","2014","5.00",158463
"iq 9.2","iq 9.2","i-mobile","1280","720","18","2013","6.00",157685
"sm-g532","galaxy grand prime (2016)","samsung","960","540","8","2016","5.00",157333
"dmid1138l","grand","estar","600","1024","2","2015","10.10",155591
"a7000-a","a7000","lenovo","1280","720","8","2015","5.50",154520
"blade d6 lite 3g","blade d6 lite 3g","zte","1280","720","5","2015","5.00",153898
"r7kf","r7 lite","oppo","1280","720","13","2015","5.00",152597
"sm-g928c","galaxy s6 edge plus","samsung","2560","1440","16","2015","5.70",150786
"blade q3","blade q3","zte","800","480","5","2015","4.00",150192
"gt-p3100","galaxy tab 2 7.0","samsung","1024","600","3.15","2012","7.00",147677
"jerry","jerry","wiko","854","480","5","2016","5.00",143674
"iphone 5","iphone 5","apple","1136","640","8","2012","4.00",143052
"x9076","find 7","oppo","2560","1440","13","2014","5.50",140901
"sm-t231","galaxy tab4 7.0 3g","samsung","1280","800","3.15","2014","7.00",138310
"iphone 6s","iphone 6s","apple","1334","750","12","2015","4.70",135141
"iq 5.1 pro","iq 5.1 pro","i-mobile","854","480","12","2013","5.30",134369
"gt-i9200","galaxy mega 6.3","samsung","1280","720","8","2013","6.30",132605
"zc500tg","zenfone go","asus","1280","720","8","2015","5.00",131211
"gt-s7270l","galaxy ace 3","samsung","800","480","5","2013","4.00",127274
"sm-t211","galaxy tab 3","samsung","1024","600","3.15","2013","7.00",122592
"l110","life view","blu","1280","720","12","2013","5.70",121277
"sm-g570f","galaxy j5 prime duos","samsung","1280","720","13","2016","5.00",120396
"sm-t705","galaxy tab s lte","samsung","1600","2560","8","2014","8.40",120342
"nexus one","nexus one","google","800","480","NULL","2010","3.82",117894
"gt-s7270","galaxy ace 3","samsung","800","480","5","2013","4.00",117545
"a601cg (z002)","zenfone 6","asus","1280","720","13","2014","6.00",116655
"zd551kl (z00ud)","zenfone selfie","asus","1920","1080","13","2015","5.50",115713
"iphone se","iphone se","apple","1136","640","12","2016","4.00",115630
"t1-701u","mediapad t1 7.0","huawei","1024","600","2","2015","7.00",113679
"kii-l22","gr5","huawei","1920","1080","13","2015","5.50",113388
"gt-i8262","galaxy core","samsung","800","480","5","2013","4.30",112671
"sm-t715y","galaxy tab s2","samsung","1536","2048","8","2015","8.00",112488
"sm-g313m","galaxy ace 4","samsung","800","480","5","2014","4.00",112266
"y37","y37","vivo","1280","720","13","2015","5.50",112113
"a2010","a2010","lenovo","854","480","5","2015","4.50",110567
"sm-t111m","galaxy tab 3 lite","samsung","1024","600","2","2013","7.00",110535
"gt-n8000","galaxy note 10.1","samsung","800","1280","5","2012","10.10",110053
"vie-l29","p9 plus","huawei","1920","1020","12","2016","5.50",105794
"v831w","v831w","zte","854","480","8","2015","4.50",105489
"y31","y31","vivo","1280","720","8","2015","4.70",104517
"r7sf","r7s","oppo","1920","1080","13","2015","5.50",103837
"iq x","iq x","i-mobile","1280","720","18","2013","4.70",102261
"gt-s7562","galaxy s duos","samsung","800","480","5","2012","4.00",102090
"a450cg (t00q)","zenfone 4","asus","854","480","8","2014","4.50",101726
"sm-g313hu","galaxy s duos 3","samsung","800","480","3.15","2014","4.00",101028
"pulp","pulp","wiko","1280","720","13","2015","5.00",97426
"gt-p5100","galaxy tab 2 10.1","samsung","800","1280","3.15","2012","10.10",97087
"one m8","one m8","htc","1920","1080","4","2014","5.00",94888
"gt-i8262b","galaxy s3 duos","samsung","800","480","5","2013","3.89",93780
"r827","find 5","oppo","960","540","8","2013","4.70",93515
"ze550ml (z008d)","zenfone 2","asus","1920","1080","13","2015","5.50",91703
"beyond tab","beyond tab","true","600","1024","5","2013","7.00",91648
"a6000","a6000","lenovo","1280","720","8","2015","5.00",91101
"gt-p3100b","galaxy tab 2","samsung","600","1024","3.15","2012","7.00",90041
"x5pro d","x5pro d","vivo","1920","1080","13","2015","5.20",88084
"sm-g318hz","galaxy tab 3","samsung","800","1280","5","2013","8.00",87975
"sm-t110","galaxy tab 3 lite 7.0 wifi","samsung","600","1024","2","2014","7.00",87831
"sm-g530fz","galaxy grand prime","samsung","960","540","8","2014","5.00",87533
"sm-g850f","galaxy alpha","samsung","1280","720","12","2014","4.70",86961
"vns-l22","p9 lite","huawei","1080","1920","13","2016","5.20",85183
"lua-l21","y3 ii","huawei","854","480","5","2016","4.50",82285
"zc451cg (z007)","zenfone c","asus","854","480","5","2015","4.50",82043
"t00i","zenfone 4","asus","800","480","5","2014","4.00",81637
"r815t","clover","oppo","800","480","5","2013","4.30",80668
"a680","a680","lenovo","854","480","5","2013","5.00",80408
"iphone 6 plus","iphone 6 plus","apple","1920","1080","8","2014","5.50",79782
"r8106","r5","oppo","1920","1080","13","2015","5.20",79677
"zc520tl (x008d)","zenfone 3 max","asus","1280","720","13","2016","5.20",79352
"x3s","x3s","vivo","1280","720","13","2014","5.00",77138
"pulp fab 4g","pulp fab 4g","wiko","1280","720","13","2015","5.50",75237
"sm-g318mz","galaxy v plus","samsung","800","480","3.15","2015","4.00",74329
"iris 750","iris 750","lava","854","480","8","2015","4.50",73299
"iq 9.1","iq 9.1","i-mobile","1280","720","5","2013","5.70",72892
"i5-77","i5-77","mcphone","854","480","5","2012","4.00",72354
"iq 6.3","iq 6.3","i-mobile","1280","720","18","2014","5.00",72304
"y22","y22","vivo","854","480","8","2013","4.50",72124
"nexus 6","nexus 6","google","2560","1440","13","2014","5.96",71237
"iris 456","iris 456","lava","854","480","5","2013","4.50",70886
"y27","y27","vivo","1280","720","8","2014","4.70",69854
"sm-g750f","galaxy mega 2","samsung","1280","720","13","2014","6.00",69445
"rm-914","lumia 520","nokia","800","480","5","2013","4.00",68371
"desire 816","desire 816","htc","1280","720","13","2014","5.50",67210
"iq 510","iq 510","i-mobile","1280","720","12","2014","4.70",67001
"gt-n7000","galaxy note","samsung","1280","800","8","2011","5.30",66690
"smart 3.5","smart 3.5","true","480","320","2","2014","3.50",66363
"ale-l02","p8 lite","huawei","1280","720","13","2015","5.00",66316
"iq 1058","iq x bliz","i-mobile","1920","1080","18","2014","5.50",65798
"iq x3","iq x3","i-mobile","1920","1080","18","2013","5.00",65643
"i-tab fun 7008","i-tab fun 7008","i-mobile","600","1024","5","2014","7.00",65343
"iphone 6s plus","iphone 6s plus","apple","1920","1080","12","2015","5.50",65231
"iris 505","iris 505","lava","854","480","5","2013","5.00",65044
"a2020a40","vibe c","lenovo","854","480","5","2016","5.00",64911
"a859","a859","lenovo","1280","720","8","2014","5.00",64650
"u707","find way s","oppo","1280","720","8","2013","5.50",63995
"p1ma40","vibe p1m","lenovo","1280","720","8","2015","5.00",63928
"iris 405+","iris 405+","lava","800","480","5","2014","4.00",63377
"desire eye","desire eye","htc","1920","1080","13","2014","5.20",63293
"i-style 7.1","i-style 7.1","i-mobile","800","480","5","2012","4.00",63110
"fe170cg (k012)","fonepad 7","asus","600","1024","2","2014","7.00",60945
"r831l","neo 5","oppo","854","480","5","2014","4.50",60055
"netcast smart tv","netcast smart tv","lg","NULL","NULL","NULL","2011","NULL",59463
"i-style 710","i-style 710","i-mobile","854","480","8","2014","4.5",59121
"h30-u10","honor 3c","huawei","1280","720","8","2013","5",59019
"sm-p555","galaxy tab a","samsung","768","1024","5","2015","9.699999999999999",58731
"blade l3","blade l3","zte","854","480","8","2014","5",58244
"r7 plus f","r7 plus f","oppo","1920","1080","13","2015","6",57882
"gt-i9100","galaxy s2","samsung","800","480","8","2011","4.3",55639
"blade c310","blade c310","zte","480","320","2","2014","3.5",54213
"ridge","ridge","wiko","1280","720","13","2015","5.5",54100
"z520","liquid z520","acer","854","480","8","2015","5",52738
"n5206","n3 dual sim","oppo","1920","1080","16","2014","5.5",52593
"mhu001d","monster high mhu001d","ingo","480","800","0.3","2013","7",52211
"a7010a48","vibe k4 note","lenovo","1920","1080","13","2016","5.5",51956
"r821","find muse","oppo","800","480","3.2","2013","4",51190
"twd mid","twd mid","china tablet","480","800","0.3","2012","9",50982
"gxq6580 weg l","galaxy s7 edge clone","alps","NULL","NULL","5","2016","5.5",50885
"iq 5.5","iq 5.5","i-mobile","960","540","12","2014","5",50747
"3006","3006","oppo","1280","720","8","2014","4.7",50109
"mini","mini","opera","NULL","NULL","NULL","NULL","NULL",50107
"gt-i8190n","galaxy s3 mini","samsung","800","480","5","2012","4",49839
"r831","neo","oppo","854","480","5","2014","4.5",49563
"sm-p601","galaxy note 10.1","samsung","1600","2560","8","2014","10.1",48675
"sm-n915f","galaxy note edge","samsung","2560","1600","16","2014","5.6",47581
"d6503","xperia z2","sony","1920","1080","20.7","2014","5.2",47299
"d802","g2","lg","1920","1080","13","2013","5.2",46899
"one","one","htc","1920","1080","4","2013","4.7",46517
"rm-978","lumia 630","nokia","854","480","5","2014","4.5",46191
"gt-i9505","galaxy s4 lte","samsung","1920","1080","13","2013","5",45798
"blade d6 lite 4g","blade d6 lite 4g","zte","1280","720","8","2015","5",45351
"fe171cg (k01n)","fonepad 7","asus","800","1280","1.8","2014","9.4",45085
"gt-p6800","galaxy tab 7.7","samsung","1280","800","NULL","2011","7.7",44992
"redmi note 3","redmi note 3","xiaomi","1920","1080","5","2015","5.5",44916
"zb452kg (x014d)","zenfone go 4.5 plus","asus","854","480","5","2016","4.5",44440
"sm-t805","galaxy tab s","samsung","1600","2560","8","2014","10.5",44388
"a7020a48","vibe k5 note","lenovo","1920","1080","13","2015","5.5",44213
"y541-u02","honor bee","huawei","854","480","8","2015","4.5",43519
"blade s6","blade s6","zte","1280","720","13","2015","5",43237
"a1000","a1000","lenovo","800","480","5","2015","4",42093
"z012db","zenfone 3","asus","1280","720","12","2016","5.9",41995
"iq 1.1","iq 1.1","i-mobile","960","540","8","2013","4.5",41983
"iq 6","iq 6","i-mobile","1280","720","12","2013","5",41871
"a536","a536","lenovo","854","480","5","2014","5",41457
"z170cg (p01y)","zenpad c7.0","asus","600","1024","5","2015","7",41406
"iq big","iq big","i-mobile","1280","720","18","2015","5",40716
"sm-t815y","galaxy tab s2 9.7","samsung","1536","2048","8","2015","9.699999999999999",40537
"rio-l02","g8 premium edition","huawei","1920","1080","13","2015","5.5",40499
"i-style 217","i-style 217","i-mobile","800","480","2","2015","4",39691
"t1-821l","mediapad t1 8.0","huawei","1280","800","5","2016","8",39387
"y625-u43","ascend y625","huawei","854","480","8","2015","5",38230
"r819","r819","oppo","1280","720","8","2013","4.7",38156
"iq 9","iq 9","i-mobile","1280","720","18","2013","5.7",37588
"e960","nexus 4","google","1280","768","8","2012","4.7",36873
"ipod touch","ipod touch","apple","480","320","NULL","2007","3.5",36205
"rm-941","lumia 625","nokia","800","480","5","2013","4.7",35842
"rm-1013","x2 dual sim","nokia","800","480","5","2014","4.3",35588
"c6602","xperia z","sony","1920","1080","13.1","2013","5.01",35013
"i-style 2.4a","i-style 2.4a","i-mobile","800","480","5","2014","4",34780
"e6853","xperia z5 premium","sony","3840","2160","23","2015","5.5",34141
"nxt-l29","mate 8","huawei","1920","1080","16","2015","6",34046
"e6653","xperia z5","sony","1920","1080","23","2015","5.2",33882
"gt-i9190","galaxy s4 mini","samsung","960","540","8","2013","4.3",33848
"d855","g3","lg","2560","1440","13","2014","5.5",33654
"xplay3s","xplay3s","vivo","2560","1440","13","2013","6",33015
"sm-t719y","galaxy tab s2 ve 8.0 4g","samsung","2048","1536","8","2016","8",32931
"ze500cl (z00d)","zenfone 2","asus","1280","720","13","2015","5",32916
"e5653","xperia m5","sony","1920","1080","21.2","2015","5",32906
"iq 5.1a","iq 5.1a","i-mobile","854","480","12","2013","5.3",32448
"i-style 7.5","i-style 7.5","i-mobile","854","480","5","2013","4.5",32335
"fl02","plus 2","flash","1920","1080","14","2016","5.5",32291
"d6653","xperia z3","sony","1920","1080","20.7","2014","5.2",32281
"smart tv","smart tv","unknown","NULL","NULL","NULL","NULL","NULL",31804
"t02a","t02a","eken","480","800","0.3","2011","7",31715
"ze601kl","zenfone 2 laser","asus","1920","1080","13","2015","6",31648
"rm-821","lumia 920","nokia","1280","768","8","2012","4.5",31418
"a5000","ideatab a5000","lenovo","1024","600","8","2014","7",30838
"c6902","xperia z1","sony","1920","1080","20.7","2013","5",30783
"e5553","xperia c5 ultra","sony","1920","1080","13","2015","6",30712
"gt-i8190t","galaxy s3 mini","samsung","800","480","5","2013","4",30510
"smart tv","smart tv","samsung","NULL","NULL","NULL","NULL","NULL",30469
"h818","g4","lg","2560","1440","16","2015","5.5",30453
"gt-i9100t","galaxy s2","samsung","800","480","8","2011","4.3",30430
"sm-t311","galaxy tab 3 8.0","samsung","1280","800","5","2013","8",30228
"ideatab a3000-h","ideatab a3000-h","lenovo","600","1024","5","2013","7",30029
"i-style 7.3","i-style 7.3","i-mobile","854","480","5","2013","4.5",29999
"rainbow","rainbow","wiko","1280","720","8","2014","5",29622
"m2 note","blue charm note 2","meizu","1920","1080","13","2015","5.5",29379
"f3116","xperia xa dual","sony","1280","720","13","2016","5",29109
"ridge fab","ridge fab","wiko","1280","720","13","2015","5.5",28974
"sm-c111","galaxy k zoom","samsung","1280","720","20.7","2014","4.8",28499
"blade v6","blade v6","zte","1280","720","13","2015","5",28358
"scl-u23","y6","huawei","1280","720","8","2015","5",28219
"v815w","blade 3","zte","800","480","5","2014","4",28149
"z150","liquid z5","acer","854","480","5","2014","5",27674
"d690","g3 stylus","lg","960","540","13","2014","5.5",27332
"blade v0720","blade v7 lite","zte","1280","720","13","2016","5",27282
"gt-i8160l","galaxy ace 2","samsung","800","480","5","2012","3.8",27102
"7049d","onetouch flash 2","alcatel","1280","720","13","2015","5",26805
"lumia 535","lumia 535","microsoft","960","540","5","2014","5",26569
"ze500kg (z00rd)","zenfone 2 laser","asus","1280","720","13","2015","5",26420
"shv-e250s","galaxy note 2","samsung","1280","720","8","2012","5.5",26290
"v830","blade g lux","zte","854","480","5","2014","4.5",26091
"gt-n7000b","galaxy note","samsung","1280","800","8","2011","5.3",26048
"rm-885","lumia 720","nokia","800","480","6.1","2013","4.3",25676
"iq x pro","iq x pro","i-mobile","1280","720","18","2015","5",25515
"t03a","t03a","eken","480","800","1.3","2012","7",25161
"v817","v817","zte","854","480","5","2015","4.5",25139
"v797","v797","zte","480","320","3","2014","3.5",24762
"c5302","xperia sp","sony","1280","720","8","2013","4.6",24482
"gt-p6200","galaxy tab 7.0 plus","samsung","1024","600","3.15","2011","7",24414
"c2305","xperia c","sony","960","540","8","2013","5",24303
"model 2","model 2","oioo","600","1024","0.2","2014","7",24172
"s90-a","sisley","lenovo","1280","720","13","2014","5",24002
"x909","find 5","oppo","1920","1080","13","2012","5",23978
"mi max","mi max","xiaomi","1920","1080","16","2016","6.44",23814
"iris 354","iris 354","lava","480","320","2","2013","3.5",23647
"rm-994","lumia 1320","nokia","1280","720","5","2013","6",23604
"mi 5","mi 5","xiaomi","1920","1080","16","2016","5.15",23505
"chc-u23","g play mini","huawei","1280","720","13","2015","5",23467
"iphone 4s","iphone 4s","apple","960","640","8","2011","3.5",23347
"premium tab 7","premium tab 7","hometech","600","1024","2","2014","7",23273
"z130","liquid z3","acer","480","320","3.15","2013","3.5",22672
"me371mg","fonepad","asus","800","1280","1.2","2013","7",22645
"gra-ul00","p8","huawei","1920","1080","13","2015","5.2",22572
"sm-g316hu","galaxy s duos 3","samsung","800","480","5","2015","4",22332
"hol-u19","honor holly","huawei","1280","720","8","2014","5",22171
"desire 820s","desire 820s","htc","1280","720","13","2014","5.5",21651
"sm-g316m","galaxy ace 4 neo","samsung","800","480","5","2014","4",21640
"gt-p5200","galaxy tab 3 10.1","samsung","800","1280","3","2013","10.1",21595
"a526","a526","lenovo","854","480","5","2014","4.5",21520
"gt-i9070","galaxy s advance","samsung","800","480","5","2012","4.3",21472
"gt-s5310","galaxy pocket neo","samsung","320","240","2","2013","3",21284
"u feel","u feel","wiko","1280","720","13","2016","5",21101
"b1-723","iconia talk 7","acer","600","1024","5","2015","7",21045
"z90a40","vibe shot","lenovo","1920","1080","16","2015","5",20910
"gt-i8160","galaxy ace 2","samsung","800","480","5","2012","3.8",20776
"f3216","xperia xa ultra dual","sony","1920","1080","21.5","2016","6",20683
"z205","liquid z205","acer","800","480","2","2014","4",20642
"r1011","joy plus","oppo","800","480","3","2015","4",20582
"xt1032","moto g","motorola","1280","720","5","2013","4.5",20190
"nexus 7","nexus 7","google","1280","800","1.2","2012","7",19695
"p70-a","p70-a","lenovo","1280","720","13","2014","5",19640
"x5max","x5max","vivo","1920","1080","13","2014","5.5",19623
"rm-892","lumia 925","nokia","1280","768","8.699999999999999","2013","4.5",19596
"v816w","v816w","zte","800","480","NULL","2014","4.5",19441
"mi 4w","mi 4","xiaomi","1920","1080","13","2014","5",19374
"v769m","leo q2","zte","800","480","2","2014","4",19300
"i6000","i6000","inew","1920","1080","3","2013","6.5",19263
"a1-713","iconia tab 7","acer","600","1024","2","2014","7",19239
"t00g","zenfone 6","asus","1280","720","13","2014","6",19232
"gt-p3110","galaxy tab 7","samsung","1024","600","3.15","2012","7",18774
"pb1-770m","phab plus","lenovo","1080","1920","13","2015","6.8",18758
"gt-s5360","galaxy y","samsung","320","240","2","2011","3",18721
"rm-1075","lumia 640 lte","microsoft","1280","720","8","2015","5",18495
"rm-846","lumia 620","nokia","800","480","5","2012","3.8",18401
"sm-g130hn","galaxy young 2","samsung","480","320","3.15","2014","3.5",18229
"a328","a328","lenovo","854","480","5","2014","4.5",18222
"z370cg (p01v)","zenpad 7.0","asus","1280","800","8","2015","7",18188
"magic","magic","htc","480","320","3.15","2009","3.2",18124
"a5500-hv","a8-50","lenovo","1280","800","5","2014","8",17490
"fever","fever","wiko","1920","1080","13","2015","5.2",17481
"sm-c101","galaxy s4 zoom","samsung","960","540","16","2013","4.3",17446
"u feel lite","u feel lite","wiko","1280","720","8","2016","5",17355
"g750-u10","honor 3x g750","huawei","1280","720","13","2013","5.5",17316
"gt-p6200l","galaxy tab","samsung","1024","600","NULL","2011","6.98",17313
"v66","v66","zte","800","1280","5","2012","7",17176
"gt-p7500","galaxy tab 10.1","samsung","800","1280","3.15","2011","10.1",16935
"v779m","v779m","zte","800","480","5","2014","4",16907
"gt-s5310b","galaxy pocket neo","samsung","320","240","2","2013","3",16893
"a1000-g","ideatab a1000","lenovo","600","1024","0.3","2013","7",16841
"shv-e250k","galaxy note 2","samsung","1280","720","8","2012","5.5",16703
"a6020a46","vibe k5 plus","lenovo","1920","1080","13","2016","5",16275
"a369i","a369i","lenovo","800","480","2","2013","4",16265
"fe375cg (k019)","fonepad 7","asus","800","1280","5","2014","7",16262
"d335","l bello dual","lg","854","480","8","2014","5",16139
"iphone 5c","iphone 5c","apple","1136","640","8","2013","4",16051
"z500","liquid z500","acer","1280","720","8","2014","5",16013
"rm-1045","lumia 930","nokia","1920","1080","20","2014","5",15582
"gt-n7105","galaxy note 2 lte","samsung","1280","720","8","2012","5.55",15574
"c6603","xperia z","sony","1920","1080","13.1","2013","5.01",15571
"tag-l22","enjoy 5s","huawei","1280","720","13","2016","5",15277
"rm-1019","lumia 530 dual sim","nokia","854","480","5","2014","4",15198
"v765m","leo s1","zte","800","480","3.2","2013","4",15182
"gt-i9250","galaxy nexus","google","1280","720","5","2012","4.65",14978
"s60-a","s60","lenovo","1280","720","13","2015","5",14962
